Epoch 0: Loss_1 4.199732166205721, Loss_2 174.3816040114229
Epoch 0: ADE 1.729177474975586, ACC 9.055861112702887
Epoch 1: Loss_1 3.975118661748952, Loss_2 84.09941694889163
Epoch 2: Loss_1 3.8518380155704293, Loss_2 80.17438406544953
Epoch 3: Loss_1 3.6619208105679215, Loss_2 72.29890154382865
Epoch 4: Loss_1 3.55573313459387, Loss_2 70.91755430099413
Epoch 5: Loss_1 3.535286545166241, Loss_2 70.33775045836501
Epoch 5: ADE 1.562933325767517, ACC 24.191179132290188
Epoch 6: Loss_1 3.472701442652735, Loss_2 60.95032286056744
Epoch 7: Loss_1 3.4287988587553277, Loss_2 40.58543300158872
Epoch 8: Loss_1 3.4269773384620406, Loss_2 35.282611287873365
Epoch 9: Loss_1 3.4999728108861765, Loss_2 30.93184350394263
Epoch 10: Loss_1 3.3825063470549184, Loss_2 18.85668863568987
Epoch 10: ADE 1.1046183109283447, ACC 40.690321321349664
Epoch 11: Loss_1 3.323446006023238, Loss_2 13.90091776965287
Epoch 12: Loss_1 3.2569830899168117, Loss_2 10.544582843780518
Epoch 13: Loss_1 3.2363032225904793, Loss_2 9.651428620803532
Epoch 14: Loss_1 3.3094177939034446, Loss_2 9.981086301098903
Epoch 15: Loss_1 3.2160242707858533, Loss_2 7.679168315943826
Epoch 15: ADE 1.1042884588241577, ACC 45.34452932831835
Epoch 16: Loss_1 3.1983354361773713, Loss_2 6.43925279936767
Epoch 17: Loss_1 3.1941850713908377, Loss_2 5.983841554284683
Epoch 18: Loss_1 3.211518017529267, Loss_2 6.20981609410253
Epoch 19: Loss_1 3.1884718434563997, Loss_2 5.134501103697152
Epoch 20: Loss_1 3.154364657519486, Loss_2 3.818375401896209
Epoch 20: ADE 0.8990870714187622, ACC 57.78168339469459
Epoch 21: Loss_1 3.1383617523268525, Loss_2 3.5244453564066016
Epoch 22: Loss_1 3.1274149711496135, Loss_2 3.4959121431623186
Epoch 23: Loss_1 3.128855478587409, Loss_2 3.6139767780679786
Epoch 24: Loss_1 3.1216805498001023, Loss_2 3.2883894108786373
Epoch 25: Loss_1 3.122603674827538, Loss_2 3.0924630670124675
Epoch 25: ADE 0.793913722038269, ACC 76.2720052012426
Epoch 26: Loss_1 3.120938753259593, Loss_2 2.927199154651811
Epoch 27: Loss_1 3.1199799746715375, Loss_2 2.9361012492861067
Epoch 28: Loss_1 3.107548751267306, Loss_2 2.7611086756137793
Epoch 29: Loss_1 3.1295900333103877, Loss_2 2.9766810668513104
Epoch 30: Loss_1 3.1060029285881905, Loss_2 2.3074127080405287
Epoch 30: ADE 0.7478312849998474, ACC 76.10810040158542
Epoch 31: Loss_1 3.0873885436598303, Loss_2 2.2247849832027415
Epoch 32: Loss_1 3.0836137116248974, Loss_2 1.9886314915906032
Epoch 33: Loss_1 3.0821307973908674, Loss_2 1.9554128508849684
Epoch 34: Loss_1 3.0813384854734824, Loss_2 1.8993356289534733
Epoch 35: Loss_1 3.0774103960967416, Loss_2 1.7999502667065324
Epoch 35: ADE 0.7475315928459167, ACC 79.9572050033581
Epoch 36: Loss_1 3.0819196325217564, Loss_2 1.8014081854538377
Epoch 37: Loss_1 3.079066955397282, Loss_2 1.7625332932754103
Epoch 38: Loss_1 3.071302369310351, Loss_2 1.7656327797274285
Epoch 39: Loss_1 3.0787076069216424, Loss_2 1.6666404387633789
Epoch 40: Loss_1 3.066846861627889, Loss_2 1.5056142084704245
Epoch 40: ADE 0.7576590180397034, ACC 80.63123378874457
Epoch 41: Loss_1 3.065105135217676, Loss_2 1.4720678159168787
Epoch 42: Loss_1 3.0631663916733465, Loss_2 1.3799038341479937
Epoch 43: Loss_1 3.062906966420817, Loss_2 1.3788680134735671
Epoch 44: Loss_1 3.0618300743290945, Loss_2 1.3854453775095823
Epoch 45: Loss_1 3.0567159629220444, Loss_2 1.3384329336030143
Epoch 45: ADE 0.7244663238525391, ACC 81.87499123082208
Epoch 46: Loss_1 3.0613259494011036, Loss_2 1.3083608846359065
Epoch 47: Loss_1 3.0578204375769706, Loss_2 1.310648174415081
Epoch 48: Loss_1 3.0531264983961734, Loss_2 1.2826383110924895
Epoch 49: Loss_1 3.055006722511329, Loss_2 1.280251583442312
Epoch 50: Loss_1 3.055712200737939, Loss_2 1.212299099696681
Epoch 50: ADE 0.7090469598770142, ACC 81.28358103863845
Epoch 51: Loss_1 3.048042623867542, Loss_2 1.1698632146337349
Epoch 52: Loss_1 3.0442101579581577, Loss_2 1.1561490488169817
Epoch 53: Loss_1 3.042164185951496, Loss_2 1.1404878135972423
Epoch 54: Loss_1 3.043914219428753, Loss_2 1.1215903174700996
Epoch 55: Loss_1 3.045375795787191, Loss_2 1.096041754255154
Epoch 55: ADE 0.7110950946807861, ACC 83.23984559233614
Epoch 56: Loss_1 3.0438357139455863, Loss_2 1.1445396795061422
Epoch 57: Loss_1 3.041019843716927, Loss_2 1.1333723311941024
Epoch 58: Loss_1 3.040609441954514, Loss_2 1.099251788825237
Epoch 59: Loss_1 3.037743748115201, Loss_2 1.0876008630386127
Epoch 60: Loss_1 3.038843055076787, Loss_2 1.0587363149144966
Epoch 60: ADE 0.7051299214363098, ACC 83.46993232511424
Epoch 61: Loss_1 3.0374971457890103, Loss_2 1.047291558364342
Epoch 62: Loss_1 3.033525808691391, Loss_2 1.012777558101222
Epoch 63: Loss_1 3.0337747212114006, Loss_2 1.009403499476428
Epoch 64: Loss_1 3.0320856383281387, Loss_2 1.0371417861266676
Epoch 65: Loss_1 3.0313984654807107, Loss_2 1.0083927767617362
Epoch 65: ADE 0.7196283936500549, ACC 83.2262233382674
Epoch 66: Loss_1 3.028977465747025, Loss_2 0.9999055104889893
Epoch 67: Loss_1 3.030579554036333, Loss_2 0.9883935442699
Epoch 68: Loss_1 3.0290644157109003, Loss_2 0.9994166146945483
Epoch 69: Loss_1 3.0299586051790586, Loss_2 1.006610242016797
Epoch 70: Loss_1 3.0257460413307977, Loss_2 0.9889423969050346
Epoch 70: ADE 0.7077578902244568, ACC 83.52605736708945
Epoch 71: Loss_1 3.025033234375451, Loss_2 0.9761927612309386
Epoch 72: Loss_1 3.0248392591335502, Loss_2 0.9535831967598112
Epoch 73: Loss_1 3.0296781391933045, Loss_2 0.944553090433769
Epoch 74: Loss_1 3.0248680596281154, Loss_2 0.967113591473678
Epoch 75: Loss_1 3.0199546661282994, Loss_2 0.9828143357643353
Epoch 75: ADE 0.7196219563484192, ACC 83.28565495800046
Epoch 76: Loss_1 3.020766092638664, Loss_2 0.960818018525692
Epoch 77: Loss_1 3.0200367067835012, Loss_2 0.9475269587756378
Epoch 78: Loss_1 3.0190069299613316, Loss_2 0.952842791826267
