Epoch 0: Loss_1 4.518953062630639, Loss_2 157.60838441895734
Epoch 0: ADE 2.008680820465088, ACC 10.310424492668316
Epoch 1: Loss_1 4.462330360130723, Loss_2 74.2903698512486
Epoch 2: Loss_1 4.146308305815523, Loss_2 72.87331884600259
Epoch 3: Loss_1 4.000065877519805, Loss_2 70.58666221731401
Epoch 4: Loss_1 4.030731958708739, Loss_2 46.15173766413346
Epoch 5: Loss_1 4.077391067749174, Loss_2 26.657654268988246
Epoch 5: ADE 0.5990464091300964, ACC 89.47954154678509
Epoch 6: Loss_1 3.909426168855188, Loss_2 17.852079346849415
Epoch 7: Loss_1 3.777727504081914, Loss_2 14.168555154001771
Epoch 8: Loss_1 3.7158289261052175, Loss_2 11.66293270599666
Epoch 9: Loss_1 3.809576655843575, Loss_2 13.891271390351168
Epoch 10: Loss_1 3.6573146423095553, Loss_2 8.297401972004932
Epoch 10: ADE 0.5224684476852417, ACC 88.38821733802486
Epoch 11: Loss_1 3.5656905056807795, Loss_2 6.4994403564284005
Epoch 12: Loss_1 3.655529967669783, Loss_2 8.504158052904852
Epoch 13: Loss_1 3.617406652478749, Loss_2 7.762063705275211
Epoch 14: Loss_1 3.5089769151997685, Loss_2 5.59623509674824
Epoch 15: Loss_1 3.508597258863778, Loss_2 5.068839308076305
Epoch 15: ADE 0.4714721441268921, ACC 88.93756980718928
Epoch 16: Loss_1 3.5129325331138275, Loss_2 4.905892146632002
Epoch 17: Loss_1 3.4966626249510666, Loss_2 4.540725926460303
Epoch 18: Loss_1 3.5046253615412217, Loss_2 4.274835110297931
Epoch 19: Loss_1 3.493513592358293, Loss_2 4.2203496465542045
Epoch 20: Loss_1 3.4714258903353086, Loss_2 3.0607280672477386
Epoch 20: ADE 0.46066537499427795, ACC 89.28944880963077
Epoch 21: Loss_1 3.4503890023442914, Loss_2 2.846711111773411
Epoch 22: Loss_1 3.446680643288373, Loss_2 2.824713735157633
Epoch 23: Loss_1 3.4411540771352835, Loss_2 2.842258762843503
Epoch 24: Loss_1 3.436482886375465, Loss_2 2.64072543294559
Epoch 25: Loss_1 3.4477246888165403, Loss_2 2.9045915028144575
Epoch 25: ADE 0.4335808753967285, ACC 88.61344914915111
Epoch 26: Loss_1 3.426749606437871, Loss_2 2.542655664124512
Epoch 27: Loss_1 3.430527223154829, Loss_2 2.2676888081827773
Epoch 28: Loss_1 3.4190713055615354, Loss_2 2.3204334545605287
Epoch 29: Loss_1 3.429326083272549, Loss_2 2.238662808399482
Epoch 30: Loss_1 3.4219752638210803, Loss_2 1.7286166824730747
Epoch 30: ADE 0.43529027700424194, ACC 89.11564493465693
Epoch 31: Loss_1 3.4014218217633627, Loss_2 1.69053831505658
Epoch 32: Loss_1 3.3989132660363106, Loss_2 1.6390095972662488
Epoch 33: Loss_1 3.400047014499533, Loss_2 1.584640334686035
Epoch 34: Loss_1 3.4000958585974033, Loss_2 1.586306782485229
Epoch 35: Loss_1 3.3898367588155964, Loss_2 1.5588951956462391
Epoch 35: ADE 0.42028534412384033, ACC 89.27408845974901
Epoch 36: Loss_1 3.3946566487768015, Loss_2 1.572653903749776
Epoch 37: Loss_1 3.3932474516882687, Loss_2 1.5080178468098193
Epoch 38: Loss_1 3.389312602029058, Loss_2 1.4829052181666709
Epoch 39: Loss_1 3.3817528421655663, Loss_2 1.410203487708651
Epoch 40: Loss_1 3.3830365347744795, Loss_2 1.201209696349252
Epoch 40: ADE 0.4059102535247803, ACC 89.08724517868254
Epoch 41: Loss_1 3.375359970947792, Loss_2 1.1680424228090371
Epoch 42: Loss_1 3.371546062929877, Loss_2 1.1786674269901707
Epoch 43: Loss_1 3.366574213422578, Loss_2 1.1567056598921714
Epoch 44: Loss_1 3.3665257322377173, Loss_2 1.171668368607319
Epoch 45: Loss_1 3.364873020519764, Loss_2 1.1637607903903342
Epoch 45: ADE 0.4035678505897522, ACC 88.66381454187609
Epoch 46: Loss_1 3.364144107978332, Loss_2 1.1193170538676784
