Epoch 0: Loss_1 4.55520250057352, Loss_2 172.30881970034443
Epoch 0: ADE 1.4758371114730835, ACC 74.52807597495007
Epoch 1: Loss_1 4.279958750814052, Loss_2 80.54771259852818
Epoch 2: Loss_1 3.9977023730724315, Loss_2 72.9950457042074
Epoch 3: Loss_1 3.9395623582924526, Loss_2 71.34401421006677
Epoch 4: Loss_1 3.8986269993147826, Loss_2 71.1445326405793
Epoch 5: Loss_1 3.7881167357778316, Loss_2 70.08045820414726
Epoch 5: ADE 1.3514176607131958, ACC 85.34271920967409
Epoch 6: Loss_1 3.859543327040273, Loss_2 70.9207276311414
Epoch 7: Loss_1 3.762128759487509, Loss_2 69.8847325141794
Epoch 8: Loss_1 3.7618955003804175, Loss_2 70.35656206478626
Epoch 9: Loss_1 3.6604633824578645, Loss_2 69.32823637788519
Epoch 10: Loss_1 3.5951146374782317, Loss_2 68.22422550934289
Epoch 10: ADE 1.3276090621948242, ACC 86.0818103992142
Epoch 11: Loss_1 3.564534028762667, Loss_2 68.11229873055895
Epoch 12: Loss_1 3.574584213970917, Loss_2 68.27496326615658
Epoch 13: Loss_1 3.541308128187809, Loss_2 68.04270730230022
Epoch 14: Loss_1 3.5380101732432547, Loss_2 67.91546954075103
Epoch 15: Loss_1 3.54735197926977, Loss_2 60.262770300428265
Epoch 15: ADE 1.018263816833496, ACC 84.84295950558578
Epoch 16: Loss_1 3.6738647674692086, Loss_2 41.18524417031575
Epoch 17: Loss_1 3.698625902824214, Loss_2 27.387075302048856
Epoch 18: Loss_1 3.6566839629206163, Loss_2 15.925552074545124
Epoch 19: Loss_1 3.6151423466029424, Loss_2 10.265197009288618
Epoch 20: Loss_1 3.5014844093416713, Loss_2 6.524411732340094
Epoch 20: ADE 0.6524631977081299, ACC 83.71546872252009
Epoch 21: Loss_1 3.4780259238088074, Loss_2 5.664373080718693
Epoch 22: Loss_1 3.4824357678737545, Loss_2 4.909023207983947
Epoch 23: Loss_1 3.4775230085908486, Loss_2 4.667798994797204
Epoch 24: Loss_1 3.477562500338249, Loss_2 4.611409293019713
Epoch 25: Loss_1 3.5007229274129634, Loss_2 5.062893546273556
Epoch 25: ADE 0.6478093266487122, ACC 84.6724431692858
Epoch 26: Loss_1 3.4584257731883983, Loss_2 3.638978475420346
Epoch 27: Loss_1 3.4668835900687234, Loss_2 3.5570930911989636
Epoch 28: Loss_1 3.4584019583434307, Loss_2 3.753968149570409
Epoch 29: Loss_1 3.461799641548119, Loss_2 3.380613161425285
Epoch 30: Loss_1 3.4467810515699715, Loss_2 2.7793924855481227
Epoch 30: ADE 0.5786947011947632, ACC 86.3185956368016
Epoch 31: Loss_1 3.4299104154990814, Loss_2 2.5316743474875767
Epoch 32: Loss_1 3.431154690352567, Loss_2 2.6114629689108564
Epoch 33: Loss_1 3.4238146408438097, Loss_2 2.5468116017985225
Epoch 34: Loss_1 3.4147054303455824, Loss_2 2.3578012905684598
Epoch 35: Loss_1 3.4131119415677826, Loss_2 2.356676946719879
Epoch 35: ADE 0.6267989873886108, ACC 85.80057923650305
Epoch 36: Loss_1 3.4113775168733644, Loss_2 2.330689178899004
Epoch 37: Loss_1 3.4110850172089826, Loss_2 2.13964797769274
Epoch 38: Loss_1 3.4055331340564297, Loss_2 2.130088317570428
Epoch 39: Loss_1 3.4065657296204215, Loss_2 2.1420477875347794
Epoch 40: Loss_1 3.402595555253804, Loss_2 1.78517032139407
Epoch 40: ADE 0.5773268342018127, ACC 85.69596715779068
Epoch 41: Loss_1 3.394539183583753, Loss_2 1.7309163873418798
Epoch 42: Loss_1 3.392055601909243, Loss_2 1.7194593360858599
Epoch 43: Loss_1 3.3837797418603754, Loss_2 1.7021023971693856
Epoch 44: Loss_1 3.386598131339538, Loss_2 1.6406620720337177
Epoch 45: Loss_1 3.3834573059833697, Loss_2 1.6286276796181214
