
Epoch 0: Loss_1 3.819524409478171, Loss_2 4.950038433074951
Epoch 0: ADE 7.832118988037109, ACC 94.47407873807362
Epoch 1: Loss_1 3.7282424935123375, Loss_2 3.6914090901090386
Epoch 2: Loss_1 3.5727972022274086, Loss_2 3.073919789832935
Epoch 3: Loss_1 3.4600852999770852, Loss_2 2.876667951282702
Epoch 4: Loss_1 3.4657348080685266, Loss_2 2.2761173185549284
Epoch 5: Loss_1 3.4231190514146235, Loss_2 1.114088395185638
Epoch 5: ADE 1.4957165718078613, ACC 94.76559468996886
Epoch 6: Loss_1 3.372464159078765, Loss_2 0.8925040824371472
Epoch 7: Loss_1 3.333077125382005, Loss_2 0.7920751723281124
Epoch 8: Loss_1 3.327186902364095, Loss_2 0.7752347447370228
Epoch 9: Loss_1 3.2883102015445105, Loss_2 0.7298970049933383
Epoch 10: Loss_1 3.2703333612073933, Loss_2 0.6792064858110327
Epoch 10: ADE 1.5319979190826416, ACC 94.8153286318014
Epoch 11: Loss_1 3.249783913294474, Loss_2 0.6224181563184973
Epoch 12: Loss_1 3.232745463388008, Loss_2 0.5856983170174715
Epoch 13: Loss_1 3.215716236516049, Loss_2 0.5788642821604746
Epoch 14: Loss_1 3.216109372021859, Loss_2 0.5644510004081225
Epoch 15: Loss_1 3.2252174343979148, Loss_2 0.5342273429820412
Epoch 15: ADE 0.977502703666687, ACC 94.5800012483664
Epoch 16: Loss_1 3.231194148983872, Loss_2 0.5203761599565807
Epoch 17: Loss_1 3.194375937445122, Loss_2 0.48416805894751297
Epoch 18: Loss_1 3.207735040731597, Loss_2 0.43955546486795993
Epoch 19: Loss_1 3.193975720489234, Loss_2 0.4586877517010036
Epoch 20: Loss_1 3.1953683819687155, Loss_2 0.39094940167770054
Epoch 20: ADE 0.6964966058731079, ACC 94.08133611370668
Epoch 21: Loss_1 3.177221289852209, Loss_2 0.3755571227847484
Epoch 22: Loss_1 3.1631787785312584, Loss_2 0.37667665669792577
Epoch 23: Loss_1 3.1694076437699166, Loss_2 0.36919538885877845
Epoch 24: Loss_1 3.1675142698120653, Loss_2 0.38253501580472576
Epoch 25: Loss_1 3.1693403804511355, Loss_2 0.3616284377742232
Epoch 25: ADE 0.7119876742362976, ACC 93.97815441157756
Epoch 26: Loss_1 3.1693051990709806, Loss_2 0.363493020858681
Epoch 27: Loss_1 3.167518276917307, Loss_2 0.36922548423733625
Epoch 28: Loss_1 3.168694730390582, Loss_2 0.3443266548085631
Epoch 29: Loss_1 3.1957724512669077, Loss_2 0.34207224924313395
Epoch 30: Loss_1 3.1654747452652243, Loss_2 0.33532721170207913
Epoch 30: ADE 0.7832956910133362, ACC 93.63783930000727
Epoch 31: Loss_1 3.1499550886321486, Loss_2 0.324158837920741
Epoch 32: Loss_1 3.152352768078185, Loss_2 0.32145479805113975
