Epoch 0: Loss_1 3.733204394056086, Loss_2 5.155954754143431
Epoch 0: ADE 8.892995834350586, ACC 88.00232289990541
Epoch 1: Loss_1 3.641637212351749, Loss_2 4.230791610583925
Epoch 2: Loss_1 3.5545107230805515, Loss_2 3.298569072756851
Epoch 3: Loss_1 3.436586752272489, Loss_2 3.080153046992787
Epoch 4: Loss_1 3.3889386068310654, Loss_2 3.0818203583098294
Epoch 5: Loss_1 3.3568991276255824, Loss_2 3.0563362648612573
Epoch 5: ADE 5.4819440841674805, ACC 90.13486979373133
Epoch 6: Loss_1 3.26162704668547, Loss_2 2.9888050137904654
Epoch 7: Loss_1 3.224064078247338, Loss_2 2.9878732321555153
Epoch 8: Loss_1 3.15984302654601, Loss_2 2.984443790034244
Epoch 9: Loss_1 3.1509456216243277, Loss_2 2.996141467178077
Epoch 10: Loss_1 3.09259425548085, Loss_2 2.971853486278601
Epoch 10: ADE 5.410583972930908, ACC 87.76810043016543
Epoch 11: Loss_1 3.009620478278712, Loss_2 2.9686826864878335
Epoch 12: Loss_1 2.993604195745368, Loss_2 2.9589845799563226
Epoch 13: Loss_1 2.989716571674012, Loss_2 2.9502005618915224
Epoch 14: Loss_1 2.9661707376178943, Loss_2 2.939478610691271
Epoch 15: Loss_1 2.9596224667733178, Loss_2 2.9452031160655774
Epoch 15: ADE 5.411235332489014, ACC 88.55550088526962
Epoch 16: Loss_1 2.941482481203581, Loss_2 2.9273156074055455
Epoch 17: Loss_1 2.9593159315878883, Loss_2 2.922628632762976
Epoch 18: Loss_1 2.990760184170907, Loss_2 2.9173062140481516
Epoch 19: Loss_1 2.9525596635383473, Loss_2 2.9006702628052023
Epoch 20: Loss_1 2.9219909592678674, Loss_2 2.862396139847605
Epoch 20: ADE 5.32002592086792, ACC 91.88678754852108
Epoch 21: Loss_1 2.895995303204185, Loss_2 2.8583272800110935
Epoch 22: Loss_1 2.9005360854299447, Loss_2 2.840716328537255
Epoch 23: Loss_1 2.9016502196328684, Loss_2 2.820079443747537
Epoch 24: Loss_1 2.882113862455937, Loss_2 2.775677379808928
Epoch 25: Loss_1 2.8987801200465153, Loss_2 2.7509351906023527
Epoch 25: ADE 5.154781818389893, ACC 92.11112052038929
Epoch 26: Loss_1 2.909901213227657, Loss_2 2.688930998768723
Epoch 27: Loss_1 2.911652372594465, Loss_2 2.613383439549229
Epoch 28: Loss_1 2.8872911386322557, Loss_2 2.5024617220226086
Epoch 29: Loss_1 2.8780164969594857, Loss_2 2.340404514680829
Epoch 30: Loss_1 2.881113236410576, Loss_2 2.155100705330832
Epoch 30: ADE 3.9205374717712402, ACC 87.24722295416707
Epoch 31: Loss_1 2.8683718087380394, Loss_2 1.9970540289293255
Epoch 32: Loss_1 2.866762274189999, Loss_2 1.8423723756221302
Epoch 33: Loss_1 2.8730152113395824, Loss_2 1.6714385685167814
Epoch 34: Loss_1 2.8765442245884945, Loss_2 1.4955912389253314
Epoch 35: Loss_1 2.860884298358047, Loss_2 1.2789479901916103
Epoch 35: ADE 2.4155335426330566, ACC 85.57624161130018
Epoch 36: Loss_1 2.866252982825564, Loss_2 1.0851590309226722
Epoch 37: Loss_1 2.861554551542851, Loss_2 0.9189490006681074
Epoch 38: Loss_1 2.871877155805889, Loss_2 0.7762773261781324
Epoch 39: Loss_1 2.8625125341248094, Loss_2 0.654711468700777
